batch_id,product_id,batch_number,manufacturing_date,release_date,expiry_date,batch_size,batch_size_unit,site_id,manufacturing_line,batch_status,disposition_date
BATCH-00001,6,BN-06-220127-01,2022-01-27,2022-02-21,2024-02-21,38030.0,L,SITE-AP-01,Line-2,Released,2022-02-22
BATCH-00002,1,BN-01-220123-02,2022-01-23,2022-03-03,2024-03-02,39687.0,units,SITE-AP-01,Line-1,Released,2022-03-04
BATCH-00003,3,BN-03-220126-03,2022-01-26,2022-02-23,2024-02-23,9685.0,L,SITE-AP-01,Line-2,Released,2022-02-25
BATCH-00004,1,BN-01-220108-04,2022-01-08,2022-02-13,2024-02-13,12555.0,kg,SITE-AP-01,Line-3,Released,2022-02-16
BATCH-00005,3,BN-03-220107-05,2022-01-07,2022-02-05,2024-02-05,20772.0,kg,SITE-US-01,Line-1,Released,2022-02-05
BATCH-00006,4,BN-04-220124-06,2022-01-24,2022-03-05,2024-03-04,44805.0,L,SITE-EU-01,Line-4,Released,2022-03-07
BATCH-00007,4,BN-04-220104-07,2022-01-04,2022-02-17,2024-02-17,31012.0,units,SITE-AP-01,Line-2,Released,2022-02-18
BATCH-00008,1,BN-01-220126-08,2022-01-26,2022-02-11,2024-02-11,19342.0,kg,SITE-EU-01,Line-1,Released,2022-02-13
BATCH-00009,4,BN-04-220106-09,2022-01-06,2022-01-24,2024-01-24,45416.0,kg,SITE-US-01,Line-3,Released,2022-01-28
BATCH-00010,4,BN-04-220123-10,2022-01-23,2022-02-07,2024-02-07,34414.0,units,SITE-AP-01,Line-4,Released,2022-02-08
BATCH-00011,1,BN-01-220111-11,2022-01-11,2022-02-07,2024-02-07,23418.0,units,SITE-US-01,Line-3,Released,2022-02-12
BATCH-00012,3,BN-03-220108-12,2022-01-08,2022-01-28,2024-01-28,30730.0,L,SITE-EU-01,Line-2,Released,2022-01-28
BATCH-00013,1,BN-01-220114-13,2022-01-14,2022-02-02,2024-02-02,34791.0,units,SITE-EU-01,Line-4,Released,2022-02-03
BATCH-00014,1,BN-01-220107-14,2022-01-07,2022-01-31,2024-01-31,48968.0,L,SITE-US-01,Line-1,Released,2022-02-02
