training_record_id,employee_id,doc_id,curriculum_id,training_type,delivery_method,assigned_date,due_date,completion_date,assessment_score,assessment_passed,attempt_number,trainer_id,status,waiver_reason
1,1,DOC-0061,,Change-Driven,eLearning,2024-07-22,2024-08-21,2024-07-30,73.6,False,2,41,Completed,
2,1,DOC-0017,,Change-Driven,eLearning,2024-09-11,2024-10-08,2024-10-06,76.0,False,2,57,Completed,
3,1,DOC-0011,,Initial,eLearning,2022-10-27,2022-11-05,2022-10-30,91.5,True,1,87,Completed,
4,1,DOC-0038,,Refresher,Read-and-Understand,2024-09-28,2024-10-11,2024-09-30,80.5,True,1,89,Completed,
5,1,DOC-0085,,Change-Driven,OJT,2024-07-04,2024-07-26,2024-07-24,95.0,True,1,120,Completed,
6,1,DOC-0016,,Refresher,eLearning,2024-08-30,2024-09-09,2024-09-11,88.3,True,1,99,Completed,
7,1,DOC-0059,,Refresher,Read-and-Understand,2024-04-12,2024-04-28,2024-05-02,91.7,True,1,25,Completed,
8,1,DOC-0037,,Initial,Read-and-Understand,2023-06-29,2023-07-06,2023-07-11,81.0,True,1,37,Completed,
9,1,DOC-0018,,Refresher,OJT,2024-02-17,2024-03-16,2024-03-01,93.4,True,1,24,Completed,
10,1,DOC-0017,,Refresher,eLearning,2022-06-30,2022-07-25,2022-07-09,77.3,False,2,3,Completed,
11,1,DOC-0047,,Initial,Classroom,2023-08-06,2023-08-28,2023-08-20,71.5,False,2,82,Completed,
12,1,DOC-0076,,Change-Driven,eLearning,2022-08-23,2022-09-01,2022-08-29,71.1,False,2,51,Completed,
13,1,DOC-0091,,Refresher,Classroom,2022-11-07,2022-11-27,2022-11-24,71.0,False,2,92,Completed,
14,1,DOC-0027,,Refresher,Read-and-Understand,2023-06-20,2023-07-11,2023-07-10,83.7,True,1,29,Completed,
15,1,DOC-0041,,Change-Driven,Classroom,2023-08-15,2023-09-07,2023-08-22,80.7,True,1,14,Completed,
16,1,DOC-0037,,Initial,Read-and-Understand,2024-04-05,2024-04-27,2024-05-02,77.6,False,2,65,Completed,
17,1,DOC-0053,,Initial,eLearning,2024-03-04,2024-03-20,2024-03-12,94.4,True,1,64,Completed,
18,1,DOC-0089,,Refresher,eLearning,2022-10-12,2022-11-09,2022-11-05,74.4,False,2,69,Completed,
19,1,DOC-0043,,Initial,eLearning,2023-06-25,2023-07-20,2023-07-19,84.9,True,1,104,Completed,
20,1,DOC-0005,,Refresher,Read-and-Understand,2022-10-17,2022-10-24,2022-10-28,71.5,False,2,102,Completed,
21,1,DOC-0003,,Initial,Read-and-Understand,2023-10-17,2023-10-26,2023-10-26,93.0,True,1,64,Completed,
22,1,DOC-0015,,Refresher,eLearning,2024-03-31,2024-04-27,2024-04-04,96.4,True,1,31,Completed,
23,1,DOC-0041,,Change-Driven,Read-and-Understand,2024-05-11,2024-06-07,2024-06-05,87.9,True,1,104,Completed,
24,1,DOC-0002,,Refresher,Classroom,2022-07-03,2022-07-11,2022-07-04,87.7,True,1,31,Completed,
25,1,DOC-0009,,Refresher,Read-and-Understand,2024-06-27,2024-07-20,2024-06-28,94.3,True,1,6,Completed,
26,1,DOC-0023,,Initial,Read-and-Understand,2024-12-14,2025-01-10,,,,1,36,Assigned,
27,1,DOC-0009,,Refresher,eLearning,2023-11-18,2023-12-12,2023-12-08,92.7,True,1,95,Completed,
28,1,DOC-0030,,Initial,Read-and-Understand,2022-04-12,2022-04-27,2022-04-27,82.5,True,1,51,Completed,
29,1,DOC-0022,,Initial,Classroom,2024-12-29,2025-01-25,2025-01-04,74.2,False,2,67,Completed,
30,1,DOC-0009,,Remedial,Read-and-Understand,2023-12-16,2024-01-10,2023-12-31,96.8,True,1,109,Completed,
31,2,DOC-0045,,Change-Driven,eLearning,2023-03-28,2023-04-06,,,,1,45,Overdue,
32,2,DOC-0088,,Refresher,Classroom,2023-03-11,2023-04-08,2023-03-27,70.3,False,2,26,Completed,
33,2,DOC-0078,,Refresher,eLearning,2024-07-06,2024-08-01,2024-07-11,72.8,False,2,40,Completed,
34,2,DOC-0018,,Refresher,eLearning,2024-05-14,2024-06-09,2024-05-28,92.0,True,1,94,Completed,
35,2,DOC-0014,,Refresher,Classroom,2024-04-10,2024-05-02,2024-05-03,96.0,True,1,112,Completed,
36,2,DOC-0017,,Initial,Classroom,2024-12-23,2025-01-16,2024-12-30,82.3,True,1,116,Completed,
37,2,DOC-0086,,Change-Driven,Classroom,2024-01-03,2024-01-10,2024-01-14,81.9,True,1,59,Completed,
38,2,DOC-0052,,Refresher,Read-and-Understand,2022-12-19,2023-01-13,2023-01-02,83.0,True,1,66,Completed,
39,2,DOC-0002,,Remedial,eLearning,2023-02-03,2023-02-24,2023-02-06,98.5,True,1,24,Completed,
40,2,DOC-0071,,Refresher,Classroom,2022-01-02,2022-01-23,2022-01-21,77.3,False,2,18,Completed,
41,2,DOC-0042,,Refresher,Classroom,2023-12-01,2023-12-27,2023-12-16,74.6,False,2,64,Completed,
42,2,DOC-0049,,Refresher,Read-and-Understand,2023-08-30,2023-09-06,2023-09-03,97.4,True,1,4,Completed,
43,2,DOC-0041,,Refresher,Read-and-Understand,2022-03-02,2022-03-11,2022-03-07,73.7,False,2,100,Completed,
44,2,DOC-0050,,Remedial,eLearning,2023-11-07,2023-11-29,2023-11-14,87.1,True,1,111,Completed,
45,2,DOC-0046,,Initial,eLearning,2024-03-22,2024-04-09,2024-04-09,86.0,True,1,40,Completed,
46,3,DOC-0055,,Initial,Classroom,2022-03-22,2022-03-30,2022-03-28,93.2,True,1,34,Completed,
47,3,DOC-0035,,Refresher,Classroom,2023-01-06,2023-01-29,2023-01-24,95.1,True,1,7,Completed,
48,3,DOC-0081,,Initial,eLearning,2023-04-23,2023-05-20,2023-05-03,87.7,True,1,113,Completed,
49,3,DOC-0020,,Initial,eLearning,2023-11-28,2023-12-25,2023-12-24,95.1,True,1,74,Completed,
50,3,DOC-0097,,Remedial,eLearning,2022-02-17,2022-03-08,2022-03-09,80.3,True,1,109,Completed,
51,3,DOC-0025,,Initial,eLearning,2024-04-15,2024-05-11,2024-04-19,89.0,True,1,6,Completed,
52,3,DOC-0002,,Change-Driven,OJT,2024-10-17,2024-11-13,2024-10-26,94.4,True,1,84,Completed,
53,3,DOC-0091,,Refresher,Read-and-Understand,2024-05-17,2024-05-28,2024-06-01,80.9,True,1,82,Completed,
54,3,DOC-0037,,Refresher,Read-and-Understand,2022-02-20,2022-03-21,2022-03-24,96.5,True,1,98,Completed,
55,3,DOC-0036,,Refresher,Read-and-Understand,2023-09-17,2023-10-06,2023-10-07,81.0,True,1,64,Completed,
