promo_id,sku_id,retailer_id,start_date,end_date,promo_type,discount_pct,incremental_units,incremental_dollars,lift_pct
PRM-000001,SKU-0001,RET-009,2023-01-07,2023-01-13,Feature,15.0,7336,18108.7,51.2
PRM-000002,SKU-0001,RET-002,2023-01-07,2023-01-13,Feature,15.0,3536,9542.6,62.3
PRM-000003,SKU-0001,RET-010,2023-03-04,2023-03-10,Display,15.0,1222,2918.28,48.2
PRM-000004,SKU-0001,RET-009,2023-05-20,2023-05-26,Feature,25.0,10006,20916.43,89.9
PRM-000005,SKU-0001,RET-010,2023-05-20,2023-05-26,Feature,25.0,2474,5275.27,93.1
PRM-000006,SKU-0001,RET-002,2023-05-20,2023-05-26,Feature,25.0,4935,10551.24,93.5
PRM-000007,SKU-0001,RET-009,2023-08-05,2023-08-11,TPR,20.0,8565,18479.62,63.9
PRM-000008,SKU-0001,RET-006,2023-08-05,2023-08-11,TPR,20.0,684,1651.18,67.7
PRM-000009,SKU-0001,RET-010,2023-08-05,2023-08-11,TPR,20.0,1849,3624.86,56.0
PRM-000010,SKU-0001,RET-007,2023-08-05,2023-08-11,TPR,20.0,3501,6090.91,56.5
PRM-000011,SKU-0001,RET-005,2023-08-05,2023-08-11,TPR,20.0,1782,3761.33,61.8
PRM-000012,SKU-0001,RET-009,2023-09-16,2023-09-22,TPR,10.0,2766,6529.7,27.2
PRM-000013,SKU-0001,RET-006,2023-09-16,2023-09-22,TPR,10.0,249,663.12,29.1
PRM-000014,SKU-0001,RET-007,2023-09-16,2023-09-22,TPR,10.0,1355,3152.14,33.0
PRM-000015,SKU-0001,RET-002,2023-09-16,2023-09-22,TPR,10.0,1521,4064.6,33.7
PRM-000016,SKU-0001,RET-009,2023-11-25,2023-12-01,TPR,10.0,3427,8083.03,27.2
PRM-000017,SKU-0001,RET-003,2023-11-25,2023-12-01,TPR,10.0,2345,6025.86,31.3
PRM-000018,SKU-0001,RET-010,2023-11-25,2023-12-01,TPR,10.0,923,2507.94,34.9
PRM-000019,SKU-0001,RET-003,2024-01-27,2024-02-02,Display,20.0,4438,8625.71,55.4
PRM-000020,SKU-0001,RET-010,2024-01-27,2024-02-02,Display,20.0,1994,4659.22,73.4
PRM-000021,SKU-0001,RET-007,2024-01-27,2024-02-02,Display,20.0,2962,4883.48,53.0
PRM-000022,SKU-0001,RET-002,2024-01-27,2024-02-02,Display,20.0,3670,8647.27,74.6
